Date,Count
2017-07-07,20
2017-07-08,13
2017-07-09,10
2017-07-10,55
2017-07-11,52
2017-07-12,66
2017-07-13,56
2017-07-14,56
2017-07-15,19
2017-07-16,12
2017-07-17,43
2017-07-18,68
2017-07-19,70
2017-07-20,53
2017-07-21,57
2017-07-22,14
2017-07-23,11
2017-07-24,40
2017-07-25,49
2017-07-26,50
2017-07-27,48
2017-07-28,63
2017-07-29,7
2017-07-30,8
2017-07-31,46
2017-08-01,52
2017-08-02,32
2017-08-03,49
2017-08-04,45
2017-08-05,25
2017-08-06,24
2017-08-07,43
2017-08-08,44
2017-08-09,57
2017-08-10,55
2017-08-11,58
2017-08-12,17
2017-08-13,18
2017-08-14,42
2017-08-15,43
2017-08-16,50
2017-08-17,49
2017-08-18,57
2017-08-19,21
2017-08-20,18
2017-08-21,36
2017-08-22,38
2017-08-23,32
2017-08-24,46
2017-08-25,54
2017-08-26,26
2017-08-27,15
2017-08-28,41
2017-08-29,58
2017-08-30,56
2017-08-31,65
2017-09-01,66
2017-09-02,18
2017-09-03,13
2017-09-04,55
2017-09-05,54
2017-09-06,23
2017-09-07,50
2017-09-08,48
2017-09-09,16
2017-09-10,11
2017-09-11,53
2017-09-12,58
2017-09-13,55
2017-09-14,78
2017-09-15,90
2017-09-16,22
2017-09-17,13
2017-09-18,63
2017-09-19,61
2017-09-20,71
2017-09-21,60
2017-09-22,23
2017-09-23,10
2017-09-24,18
2017-09-25,62
2017-09-26,62
2017-09-27,64
2017-09-28,63
2017-09-29,68
2017-09-30,13
2017-10-01,15
2017-10-02,60
2017-10-03,61
2017-10-04,51
2017-10-05,70
2017-10-06,61
2017-10-07,25
2017-10-08,20
2017-10-09,52
2017-10-10,59
2017-10-11,51
2017-10-12,59
2017-10-13,69
2017-10-14,18
2017-10-15,16
2017-10-16,55
2017-10-17,63
2017-10-18,62
2017-10-19,67
2017-10-20,78
2017-10-21,12
2017-10-22,11
2017-10-23,44
2017-10-24,58
2017-10-25,85
2017-10-26,75
2017-10-27,81
2017-10-28,16
2017-10-29,11
2017-10-30,62
2017-10-31,62
2017-11-01,57
2017-11-02,60
2017-11-03,61
2017-11-04,15
2017-11-05,9
2017-11-06,61
2017-11-07,66
2017-11-08,48
2017-11-09,58
2017-11-10,77
2017-11-11,9
2017-11-12,20
2017-11-13,54
2017-11-14,54
2017-11-15,65
2017-11-16,60
2017-11-17,89
2017-11-18,14
2017-11-19,17
2017-11-20,51
2017-11-21,63
2017-11-22,62
2017-11-23,70
2017-11-24,83
2017-11-25,15
2017-11-26,16
2017-11-27,87
2017-11-28,64
2017-11-29,61
2017-11-30,82
2017-12-01,73
2017-12-02,18
2017-12-03,12
2017-12-04,68
2017-12-05,70
2017-12-06,74
2017-12-07,66
2017-12-08,62
2017-12-09,21
2017-12-10,22
2017-12-11,49
2017-12-12,71
2017-12-13,70
2017-12-14,57
2017-12-15,69
2017-12-16,10
2017-12-17,17
2017-12-18,57
2017-12-19,68
2017-12-20,70
2017-12-21,77
2017-12-22,60
2017-12-23,7
2017-12-24,7
2017-12-25,4
2017-12-26,9
2017-12-27,13
