DocumentDate,Count
2021-01-04,5900
2021-01-05,5189
2021-01-06,5000
2021-01-07,4829
2021-01-08,5394
2021-01-09,132
2021-01-10,160
2021-01-11,6696
2021-01-12,6437
2021-01-13,6424
2021-01-14,6556
2021-01-15,5827
2021-01-16,169
2021-01-17,158
2021-01-18,7000
2021-01-19,6683
2021-01-20,6585
2021-01-21,6622
2021-01-22,5898
2021-01-23,159
2021-01-24,212
2021-01-25,6948
2021-01-26,6705
2021-01-27,6486
2021-01-28,6284
2021-01-29,5600
2021-01-30,143
2021-01-31,115
2021-02-01,6705
2021-02-02,6516
2021-02-03,6411
2021-02-04,6588
2021-02-05,6058
2021-02-06,193
2021-02-07,143
2021-02-08,6697
2021-02-09,6690
2021-02-10,6292
2021-02-11,6377
2021-02-12,5895
2021-02-13,159
2021-02-14,102
2021-02-15,6604
2021-02-16,6874
2021-02-17,6407
2021-02-18,6294
2021-02-19,5805
2021-02-20,192
2021-02-21,189
2021-02-22,6788
2021-02-23,6655
2021-02-24,6392
2021-02-25,6513
2021-02-26,6272
2021-02-27,138
2021-02-28,197
2021-03-01,6381
2021-03-02,6913
2021-03-03,88
2021-03-04,6722
2021-03-05,6369
2021-03-06,116
2021-03-07,206
2021-03-08,6469
2021-03-09,7309
2021-03-10,7104
2021-03-11,6999
2021-03-12,6003
2021-03-13,162
2021-03-14,171
2021-03-15,7258
2021-03-16,7089
2021-03-17,7227
2021-03-18,7125
2021-03-19,6353
2021-03-20,184
2021-03-21,208
2021-03-22,7436
2021-03-23,7018
2021-03-24,6767
2021-03-25,6361
2021-03-26,6362
2021-03-27,215
2021-03-28,159
2021-03-29,7196
2021-03-30,6842
2021-03-31,6381
2021-04-01,6520
2021-04-02,6208
2021-04-03,136
2021-04-04,183
2021-04-05,6779
2021-04-06,6401
2021-04-07,5973
2021-04-08,6097
2021-04-09,5635
2021-04-10,195
2021-04-11,118
2021-04-12,7659
2021-04-13,7219
2021-04-14,7500
2021-04-15,6980
2021-04-16,6240
2021-04-17,253
2021-04-18,225
2021-04-19,7883
2021-04-20,7645
2021-04-21,7084
2021-04-22,7086
2021-04-23,6734
2021-04-24,276
2021-04-25,140
2021-04-26,7642
2021-04-27,7252
2021-04-28,7371
2021-04-29,7824
2021-04-30,178
2021-05-01,245
2021-05-02,14
2021-05-03,107
2021-05-04,211
2021-05-05,5520
2021-05-06,112
2021-05-07,4802
2021-05-08,162
2021-05-09,175
2021-05-10,8577
2021-05-11,7891
2021-05-12,7439
2021-05-13,7637
2021-05-14,7246
2021-05-15,215
2021-05-16,246
2021-05-17,8433
2021-05-18,8331
2021-05-19,7721
2021-05-20,8005
2021-05-21,7408
2021-05-22,269
2021-05-23,202
2021-05-24,157
2021-05-25,7897
2021-05-26,8187
2021-05-27,8139
2021-05-28,7621
2021-05-29,222
2021-05-30,217
2021-05-31,8743
2021-06-01,8687
2021-06-02,8846
2021-06-03,7822
2021-06-04,6097
2021-06-05,222
2021-06-06,213
2021-06-07,7984
2021-06-08,7901
2021-06-09,7537
2021-06-10,7603
2021-06-11,7020
2021-06-12,248
2021-06-13,159
2021-06-14,8463
2021-06-15,8556
2021-06-16,8601
2021-06-17,8430
2021-06-18,7079
2021-06-19,228
2021-06-20,200
2021-06-21,8080
2021-06-22,8333
2021-06-23,7737
2021-06-24,7852
2021-06-25,7107
2021-06-26,236
2021-06-27,219
2021-06-28,8494
2021-06-29,8120
2021-06-30,8264
2021-07-01,7988
2021-07-02,7425
2021-07-03,224
2021-07-04,238
2021-07-05,8051
2021-07-06,7761
2021-07-07,7577
2021-07-08,7689
2021-07-09,7828
2021-07-10,595
2021-07-11,212
2021-07-12,8104
2021-07-13,8008
2021-07-14,7924
2021-07-15,7723
2021-07-16,7400
2021-07-17,443
2021-07-18,262
2021-07-19,7309
2021-07-20,6920
2021-07-21,6760
2021-07-22,6612
2021-07-23,6600
2021-07-24,293
2021-07-25,265
2021-07-26,7240
2021-07-27,6757
2021-07-28,6529
2021-07-29,6395
2021-07-30,5953
2021-07-31,365
2021-08-01,380
2021-08-02,6283
2021-08-03,6121
2021-08-04,5449
2021-08-05,5362
2021-08-06,5002
2021-08-07,277
2021-08-08,129
2021-08-09,6099
2021-08-10,5670
2021-08-11,5393
2021-08-12,5586
2021-08-13,5270
2021-08-14,320
2021-08-15,124
2021-08-16,5877
2021-08-17,5529
2021-08-18,5127
2021-08-19,5239
2021-08-20,4918
2021-08-21,298
2021-08-22,237
2021-08-23,5912
2021-08-24,5425
2021-08-25,5207
2021-08-26,5346
2021-08-27,5411
2021-08-28,293
2021-08-29,206
2021-08-30,6197
2021-08-31,5843
2021-09-01,5763
2021-09-02,5356
2021-09-03,5159
2021-09-04,208
2021-09-05,154
2021-09-06,138
2021-09-07,6636
2021-09-08,6134
2021-09-09,6502
2021-09-10,6448
2021-09-11,294
2021-09-12,343
2021-09-13,7740
2021-09-14,7470
2021-09-15,6840
2021-09-16,7945
2021-09-17,7240
2021-09-18,179
2021-09-19,173
2021-09-20,7850
2021-09-21,7992
2021-09-22,309
2021-09-23,7960
2021-09-24,6835
2021-09-25,226
2021-09-26,203
2021-09-27,8552
2021-09-28,8197
2021-09-29,8446
2021-09-30,8376
2021-10-01,8178
2021-10-02,219
2021-10-03,425
2021-10-04,8574
2021-10-05,7935
2021-10-06,7867
2021-10-07,7433
2021-10-08,7125
2021-10-09,482
2021-10-10,265
2021-10-11,8019
2021-10-12,7822
2021-10-13,7786
2021-10-14,7556
2021-10-15,7449
2021-10-16,380
2021-10-17,316
2021-10-18,7914
2021-10-19,7707
2021-10-20,7537
2021-10-21,7150
2021-10-22,6962
2021-10-23,247
2021-10-24,272
2021-10-25,7955
2021-10-26,7825
2021-10-27,8518
2021-10-28,8383
2021-10-29,7815
2021-10-30,489
2021-10-31,350
2021-11-01,7933
2021-11-02,8150
2021-11-03,7487
2021-11-04,7904
2021-11-05,7158
2021-11-06,261
2021-11-07,295
2021-11-08,8427
2021-11-09,8290
2021-11-10,7805
2021-11-11,7867
2021-11-12,7099
2021-11-13,376
2021-11-14,315
2021-11-15,8141
2021-11-16,8006
2021-11-17,7847
2021-11-18,7684
2021-11-19,7357
2021-11-20,429
2021-11-21,380
2021-11-22,7828
2021-11-23,7921
2021-11-24,7896
2021-11-25,8281
2021-11-26,7829
2021-11-27,284
2021-11-28,357
2021-11-29,8755
2021-11-30,8808
2021-12-01,7987
2021-12-02,7905
2021-12-03,7349
2021-12-04,344
2021-12-05,304
2021-12-06,7867
2021-12-07,8102
2021-12-08,8308
2021-12-09,8411
2021-12-10,7682
2021-12-11,320
2021-12-12,307
2021-12-13,8491
2021-12-14,8792
2021-12-15,8316
2021-12-16,8531
2021-12-17,8079
2021-12-18,329
2021-12-19,317
2021-12-20,8059
2021-12-21,7711
2021-12-22,7623
2021-12-23,6877
2021-12-24,138
2021-12-25,41
2021-12-26,149
2021-12-27,481
2021-12-28,237
2021-12-29,5363
2021-12-30,5311
2021-12-31,2787
2022-01-01,81
2022-01-02,288
2022-01-03,298
2022-01-04,6684
2022-01-05,5828
2022-01-06,5829
2022-01-07,5456
2022-01-08,387
2022-01-09,313
2022-01-10,8200
2022-01-11,7807
2022-01-12,7841
2022-01-13,7273
2022-01-14,7373
2022-01-15,379
2022-01-16,404
2022-01-17,8453
2022-01-18,7764
2022-01-19,7908
2022-01-20,7457
2022-01-21,7526
2022-01-22,331
2022-01-23,310
2022-01-24,8248
2022-01-25,7879
2022-01-26,7932
2022-01-27,7821
2022-01-28,7328
2022-01-29,356
2022-01-30,345
2022-01-31,7697
2022-02-01,7393
2022-02-02,7110
2022-02-03,7526
2022-02-04,6589
2022-02-05,323
2022-02-06,314
2022-02-07,8117
2022-02-08,7998
2022-02-09,8022
2022-02-10,7894
2022-02-11,7242
2022-02-12,375
2022-02-13,229
2022-02-14,7720
2022-02-15,7822
2022-02-16,7775
2022-02-17,7736
2022-02-18,7409
2022-02-19,346
2022-02-20,262
2022-02-21,8188
2022-02-22,8827
2022-02-23,8573
2022-02-24,8014
2022-02-25,7500
2022-02-26,354
2022-02-27,341
2022-02-28,8861
2022-03-01,8352
2022-03-02,9139
2022-03-03,359
2022-03-04,7185
2022-03-05,368
2022-03-06,331
2022-03-07,9129
2022-03-08,7417
2022-03-09,8338
2022-03-10,8750
2022-03-11,7398
2022-03-12,324
2022-03-13,286
2022-03-14,8650
2022-03-15,8487
2022-03-16,8446
2022-03-17,8269
2022-03-18,7263
2022-03-19,317
2022-03-20,324
2022-03-21,8644
2022-03-22,8243
2022-03-23,8288
2022-03-24,8405
2022-03-25,7173
2022-03-26,266
2022-03-27,361
2022-03-28,8366
2022-03-29,8341
2022-03-30,8705
2022-03-31,8904
2022-04-01,6871
2022-04-02,319
2022-04-03,426
2022-04-04,7558
2022-04-05,7831
2022-04-06,7752
2022-04-07,7415
2022-04-08,6971
2022-04-09,306
2022-04-10,375
2022-04-11,8898
2022-04-12,8679
2022-04-13,8013
2022-04-14,8124
2022-04-15,7546
2022-04-16,268
2022-04-17,312
2022-04-18,8410
2022-04-19,8349
2022-04-20,9292
2022-04-21,8193
2022-04-22,345
2022-04-23,110
2022-04-24,39
2022-04-25,245
2022-04-26,7592
2022-04-27,7831
2022-04-28,7994
2022-04-29,8621
2022-04-30,476
2022-05-01,271
2022-05-02,301
2022-05-03,8916
2022-05-04,8136
2022-05-05,7157
2022-05-06,280
2022-05-07,356
2022-05-08,229
2022-05-09,8671
2022-05-10,8471
2022-05-11,8318
2022-05-12,7930
2022-05-13,7414
2022-05-14,374
2022-05-15,365
2022-05-16,8612
2022-05-17,9114
2022-05-18,8521
2022-05-19,8791
2022-05-20,7952
2022-05-21,337
2022-05-22,338
2022-05-23,7613
2022-05-24,355
2022-05-25,7700
2022-05-26,8073
2022-05-27,7548
2022-05-28,288
2022-05-29,258
2022-05-30,8973
2022-05-31,9009
2022-06-01,8080
2022-06-02,8282
2022-06-03,7816
2022-06-04,345
2022-06-05,290
2022-06-06,8425
2022-06-07,8257
2022-06-08,7948
2022-06-09,7865
2022-06-10,7431
2022-06-11,279
2022-06-12,338
2022-06-13,8019
2022-06-14,8371
2022-06-15,7983
2022-06-16,8054
2022-06-17,6771
2022-06-18,298
2022-06-19,270
2022-06-20,8361
2022-06-21,7910
2022-06-22,7778
2022-06-23,7701
2022-06-24,7196
2022-06-25,457
2022-06-26,274
2022-06-27,8165
2022-06-28,7674
2022-06-29,8217
2022-06-30,8143
2022-07-01,7035
2022-07-02,332
2022-07-03,339
2022-07-04,8007
2022-07-05,7679
2022-07-06,7536
2022-07-07,7756
2022-07-08,7155
2022-07-09,410
2022-07-10,333
2022-07-11,7687
2022-07-12,7946
2022-07-13,7790
2022-07-14,7418
2022-07-15,7738
2022-07-16,340
2022-07-17,627
2022-07-18,7182
2022-07-19,7414
2022-07-20,6879
2022-07-21,6679
2022-07-22,6517
2022-07-23,285
2022-07-24,240
2022-07-25,7323
2022-07-26,6654
2022-07-27,6424
2022-07-28,6367
2022-07-29,6447
2022-07-30,358
2022-07-31,370
2022-08-01,6716
2022-08-02,6440
2022-08-03,5951
2022-08-04,5362
2022-08-05,5056
2022-08-06,214
2022-08-07,218
2022-08-08,5582
2022-08-09,5578
2022-08-10,5248
2022-08-11,5271
2022-08-12,5074
2022-08-13,298
2022-08-14,272
2022-08-15,5392
2022-08-16,5498
2022-08-17,5245
2022-08-18,4665
2022-08-19,4846
2022-08-20,235
2022-08-21,243
2022-08-22,5991
2022-08-23,5823
2022-08-24,5217
2022-08-25,5146
2022-08-26,4649
2022-08-27,254
2022-08-28,178
2022-08-29,5574
2022-08-30,5655
2022-08-31,5662
2022-09-01,5222
2022-09-02,5104
2022-09-03,263
2022-09-04,147
2022-09-05,4745
2022-09-06,214
2022-09-07,6158
2022-09-08,5564
2022-09-09,5463
2022-09-10,248
2022-09-11,208
2022-09-12,7833
2022-09-13,7477
2022-09-14,6887
2022-09-15,6139
2022-09-16,6938
2022-09-17,322
2022-09-18,225
2022-09-19,8349
2022-09-20,8100
2022-09-21,8358
2022-09-22,323
2022-09-23,5943
2022-09-24,284
2022-09-25,138
2022-09-26,8289
2022-09-27,8049
2022-09-28,8016
2022-09-29,7892
2022-09-30,7885
2022-10-01,409
2022-10-02,310
2022-10-03,8238
2022-10-04,9020
2022-10-05,8250
2022-10-06,8161
2022-10-07,7536
2022-10-08,354
2022-10-09,459
2022-10-10,8092
2022-10-11,8189
2022-10-12,8131
2022-10-13,8342
2022-10-14,7308
2022-10-15,417
2022-10-16,300
2022-10-17,8469
2022-10-18,8316
2022-10-19,7894
2022-10-20,7840
2022-10-21,7519
2022-10-22,320
2022-10-23,370
2022-10-24,8161
2022-10-25,7342
2022-10-26,7781
2022-10-27,8457
2022-10-28,7782
2022-10-29,392
2022-10-30,355
2022-10-31,8288
2022-11-01,7927
2022-11-02,8075
2022-11-03,7334
2022-11-04,6853
2022-11-05,317
2022-11-06,299
2022-11-07,8293
2022-11-08,7799
2022-11-09,7722
2022-11-10,7879
2022-11-11,7398
2022-11-12,479
2022-11-13,342
2022-11-14,8268
2022-11-15,8340
2022-11-16,8193
2022-11-17,8324
2022-11-18,7420
2022-11-19,378
2022-11-20,348
2022-11-21,8924
2022-11-22,8483
2022-11-23,8143
2022-11-24,8012
2022-11-25,7243
2022-11-26,495
2022-11-27,339
2022-11-28,8327
2022-11-29,8828
2022-11-30,8025
2022-12-01,8122
2022-12-02,7447
2022-12-03,466
2022-12-04,388
2022-12-05,7760
2022-12-06,7600
2022-12-07,7732
2022-12-08,8413
2022-12-09,7341
2022-12-10,390
2022-12-11,442
2022-12-12,8746
2022-12-13,8535
2022-12-14,8453
2022-12-15,8521
2022-12-16,7967
2022-12-17,282
2022-12-18,360
2022-12-19,8581
2022-12-20,8098
2022-12-21,7899
2022-12-22,7698
2022-12-23,6902
2022-12-24,147
2022-12-25,133
2022-12-26,96
2022-12-27,183
2022-12-28,364
2022-12-29,5314
2022-12-30,4418
2022-12-31,106
2023-01-01,49
2023-01-02,116
2023-01-03,6028
2023-01-04,6159
2023-01-05,6510
2023-01-06,5630
2023-01-07,236
2023-01-08,331
2023-01-09,8017
2023-01-10,7970
2023-01-11,7264
2023-01-12,7287
2023-01-13,6774
2023-01-14,450
2023-01-15,273
2023-01-16,7858
2023-01-17,7860
2023-01-18,7696
2023-01-19,7708
2023-01-20,7340
2023-01-21,363
2023-01-22,397
2023-01-23,7959
2023-01-24,8027
2023-01-25,8280
2023-01-26,7864
2023-01-27,7630
2023-01-28,453
2023-01-29,353
2023-01-30,8265
2023-01-31,8423
2023-02-01,7195
2023-02-02,7258
2023-02-03,6956
2023-02-04,449
2023-02-05,319
2023-02-06,8423
2023-02-07,8118
2023-02-08,7849
2023-02-09,8171
2023-02-10,7080
2023-02-11,463
2023-02-12,336
2023-02-13,7953
2023-02-14,7401
2023-02-15,7929
2023-02-16,8329
2023-02-17,7753
2023-02-18,409
2023-02-19,443
2023-02-20,8471
2023-02-21,8489
2023-02-22,7833
2023-02-23,8044
2023-02-24,7815
2023-02-25,580
2023-02-26,405
2023-02-27,8858
2023-02-28,8693
2023-03-01,8217
2023-03-02,8815
