Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
12,5,5,"град София, Център",1940,"АТЕЛИЕ, ТАВАН",Тухла,17500
15,1,4,"град София, Център",1950,1-СТАЕН,Тухла,19800
15,1,4,"град София, Център",1950,"АТЕЛИЕ, ТАВАН",Тухла,19900
18,1,3,"град София, Кръстова вада",2002,1-СТАЕН,Тухла,30380
18,5,5,"град София, Надежда 2",1998,"АТЕЛИЕ, ТАВАН",Тухла,22000
20,2,5,"град София, Оборище",2000,"АТЕЛИЕ, ТАВАН",Тухла,28000
25,1,7,"град София, Люлин 5",1975,1-СТАЕН,Панел,17490
26,1,6,"град София, Изгрев",2008,1-СТАЕН,Тухла,39500
26,4,7,"град София, Сухата река",1970,1-СТАЕН,Панел,29000
27,2,6,"град София, Център",2020,1-СТАЕН,Тухла,26000
27,2,6,"град София, Банишора",2020,1-СТАЕН,Тухла,26000
27,1,15,"град София, Банишора",1985,1-СТАЕН,ЕПК,35000
27,1,6,"град София, Люлин 1",1992,1-СТАЕН,Панел,23800
27,2,7,"град София, Център",2020,"АТЕЛИЕ, ТАВАН",Тухла,39774
28,1,2,"град София, Център",1920,1-СТАЕН,Тухла,31000
28,1,2,"град София, Център",1970,"АТЕЛИЕ, ТАВАН",Тухла,31000
30,6,6,"град София, Център",1942,2-СТАЕН,Тухла,64000
30,12,16,"град София, Център",2018,1-СТАЕН,ЕПК,35000
30,3,6,"град София, Триъгълника",2016,1-СТАЕН,Тухла,52400
30,6,6,"град София, Надежда 2",1996,"АТЕЛИЕ, ТАВАН",Тухла,22500
30,2,16,"град София, Младост 2",1985,1-СТАЕН,ЕПК,49999
30,3,6,"град София, Люлин 5",1980,1-СТАЕН,Панел,24900
30,4,18,"град София, Банишора",1980,1-СТАЕН,ЕПК,35000
31,16,16,"град София, Надежда 4",1987,1-СТАЕН,ЕПК,32000
32,1,5,"град София, Студентски град",2019,1-СТАЕН,Тухла,34000
32,7,8,"град София, Младост 3",1989,1-СТАЕН,Панел,41000
32,8,8,"град София, Младост 3",2017,1-СТАЕН,Панел,29980
32,2,4,"град София, Малинова долина",2021,1-СТАЕН,Тухла,29311
32,2,6,"град София, Люлин 9",2009,1-СТАЕН,Тухла,38500
32,9,9,"град София, Люлин 2",2021,1-СТАЕН,Тухла,21929
32,4,5,"град София, Дружба 2",2012,1-СТАЕН,Тухла,19990
32,2,14,"град София, Люлин 7",1992,1-СТАЕН,ЕПК,42000
33,2,4,"град София, Дружба 2",2011,1-СТАЕН,Тухла,18700
33,1,3,"град София, Център",1923,1-СТАЕН,Тухла,39900
33,1,7,"град София, Студентски град",2017,1-СТАЕН,Тухла,76000
33,7,9,"град София, Студентски град",2019,1-СТАЕН,Тухла,41500
33,2,5,"град София, Студентски град",2020,1-СТАЕН,Тухла,37030
33,4,4,"град София, Бенковски",2016,"АТЕЛИЕ, ТАВАН",Тухла,23000
33,1,5,"град София, Студентски град",2020,1-СТАЕН,Тухла,30999
33,1,9,"град София, Овча купел",2021,1-СТАЕН,Тухла,30150
33,1,9,"град София, Овча купел",2021,1-СТАЕН,Тухла,29990
33,2,4,"град София, Малинова долина",2021,1-СТАЕН,Тухла,29812
33,3,3,"град София, Лозенец",1968,1-СТАЕН,Тухла,29900
33,7,9,"град София, Дървеница",2019,1-СТАЕН,Тухла,41500
33,3,3,"град София, Лозенец",1968,"АТЕЛИЕ, ТАВАН",Тухла,30000
34,1,9,"град София, Овча купел",2021,1-СТАЕН,Тухла,29990
34,7,9,"град София, Дървеница",2019,1-СТАЕН,Тухла,40000
34,7,9,"град София, Дървеница",2019,1-СТАЕН,Тухла,40000
34,7,9,"град София, Дървеница",2018,1-СТАЕН,Тухла,62000
34,5,8,"град София, Люлин 5",1982,1-СТАЕН,Панел,23000
34,5,8,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42500
34,1,5,"град София, Студентски град",2008,1-СТАЕН,Тухла,42000
34,2,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,46500
34,3,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,60000
34,10,14,"град София, Сухата река",1985,1-СТАЕН,ЕПК,52500
35,1,6,"град София, Студентски град",2010,1-СТАЕН,Тухла,32999
35,2,6,"град София, Център",2012,1-СТАЕН,Тухла,78000
35,1,8,"град София, Овча купел 1",2003,1-СТАЕН,Тухла,33999
35,2,6,"град София, Кръстова вада",2020,1-СТАЕН,Тухла,41650
35,1,8,"град София, Овча купел 1",2003,"АТЕЛИЕ, ТАВАН",Тухла,33999
36,15,17,"град София, Студентски град",2018,2-СТАЕН,ЕПК,39072
36,9,16,"град София, Студентски град",1983,2-СТАЕН,ЕПК,44900
36,12,14,"град София, Студентски град",2018,2-СТАЕН,ЕПК,38999
36,9,16,"град София, Дървеница",2018,2-СТАЕН,ЕПК,44900
36,6,7,"град София, Център",1955,1-СТАЕН,Тухла,54000
36,5,6,"град София, Хаджи Димитър",1980,1-СТАЕН,ЕПК,28000
36,3,6,"град София, Студентски град",2016,1-СТАЕН,Тухла,40999
36,2,5,"град София, Студентски град",2019,1-СТАЕН,Тухла,37800
36,5,5,"град София, Обеля 1",2019,1-СТАЕН,Тухла,25000
36,7,8,"град София, Младост 3",1989,1-СТАЕН,Панел,40500
36,7,9,"град София, Дървеница",2019,1-СТАЕН,Тухла,41200
36,1,6,"град София, Дружба 1",2019,1-СТАЕН,Тухла,27000
36,7,8,"град София, Горубляне",1998,1-СТАЕН,Панел,40495
36,2,6,"град София, Център",1951,2-СТАЕН,Тухла,85000
37,10,14,"град София, Люлин 7",1984,1-СТАЕН,ЕПК,35900
37,2,4,"град София, Малинова долина",2021,1-СТАЕН,Тухла,33570
