Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160235015920124&slink=60chjd&f1=1,24,460,0,0,"град София, Зона Б-5",0,КЪЩА,Гредоред,25000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159543100793925&slink=60chjm&f1=1,31,734,0,0,"град София, с. Подгумер",1970,КЪЩА,Тухла,63000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160326411545680&slink=60chjm&f1=1,31,230,0,0,"град София, Център",1960,КЪЩА,Тухла,43000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158392870310623&slink=60chjn&f1=1,32,822,0,0,"град София, гр. Банкя",2017,КЪЩА,Тухла,100000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158374794774988&slink=60chjn&f1=1,32,70,0,0,"град София, Триъгълника",1970,КЪЩА,Тухла,55000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j155239612232513&slink=60chju&f1=1,36,267,0,0,"град София, Горубляне",1985,КЪЩА,Тухла,86000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160128967557164&slink=60chjx&f1=1,38,622,0,0,"град София, с. Волуяк",2016,КЪЩА,Панел,82999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160327182259237&slink=60chk0&f1=1,39,197,0,0,"град София, Триъгълника",0,КЪЩА,Тухла,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159348644062154&slink=60chk1&f1=1,40,780,0,0,"град София, м-т Щъркелово гнездо",0,КЪЩА,Тухла,26500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159739517380515&slink=60chk1&f1=1,40,856,0,0,"град София, Горна баня",0,КЪЩА,Тухла,128000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159159820761778&slink=60chk1&f1=1,40,478,0,0,"град София, гр. Банкя",2019,КЪЩА,Тухла,40400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158039681812270&slink=60chk1&f1=1,40,547,0,0,"град София, Овча купел",2019,КЪЩА,Тухла,199000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156861785369774&slink=60chk5&f1=1,42,0,0,0,"град София, Лагера",0,КЪЩА,Тухла,26000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157183806749116&slink=60chk5&f1=1,42,74,0,0,"град София, Център",1910,КЪЩА,Тухла,56500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159782021435583&slink=60chkc&f1=1,44,747,0,0,"град София, Суходол",2000,КЪЩА,Тухла,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159358840772215&slink=60chkd&f1=1,45,215,0,0,"град София, Левски",1970,КЪЩА,Гредоред,70000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j152632048591680&slink=60chkd&f1=1,45,670,0,0,"град София, м-т Киноцентъра",0,КЪЩА,Тухла,137500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158815167516039&slink=60chkd&f1=1,45,600,0,0,"град София, с. Войнеговци",0,КЪЩА,Тухла,57000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159661263573287&slink=60chkd&f1=1,45,570,0,0,"град София, с. Волуяк",1960,КЪЩА,Тухла,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160378507630856&slink=60chkj&f1=1,49,768,0,0,"град София, с. Панчарево",0,КЪЩА,Тухла,74000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j150574540135610&slink=60chkm&f1=1,50,420,0,0,"град София, гр. Банкя",1990,КЪЩА,Тухла,25000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j152836496812763&slink=60chkm&f1=1,50,1260,0,0,"град София, гр. Банкя",1960,КЪЩА,Гредоред,66999
