Id,Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
1,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155448398782425&slink=4orkkt&f1=1,12,5,5,"град София, Център",1940,"АТЕЛИЕ, ТАВАН",Тухла,17500
2,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155448420362708&slink=4orkku&f1=1,13,0,0,"град София, Център",1940,"АТЕЛИЕ, ТАВАН",Тухла,26000
3,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156239535315526&slink=4orkkw&f1=1,15,1,4,"град София, Център",1950,1-СТАЕН,Тухла,19800
4,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h156239526633002&slink=4orkkw&f1=1,15,1,4,"град София, Център",1950,"АТЕЛИЕ, ТАВАН",Тухла,19900
5,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h154764353930717&slink=4orkkw&f1=1,15,0,0,"град София, Център",1940,"АТЕЛИЕ, ТАВАН",Тухла,23000
6,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156084523651419&slink=4orkky&f1=1,17,0,0,"град София, Кръстова вада",2021,1-СТАЕН,Тухла,26000
7,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155541618513073&slink=4orkky&f1=1,17,0,0,"град София, Люлин 4",1980,1-СТАЕН,Панел,15000
8,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a148933757243467&slink=4orkky&f1=1,17,0,0,"град София, Люлин 8",2010,1-СТАЕН,Тухла,17500
9,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155597630083451&slink=4orkkz&f1=1,18,0,0,"град София, Кръстова вада",0,1-СТАЕН,Тухла,26900
10,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155421583706969&slink=4orkkz&f1=1,18,1,3,"град София, Кръстова вада",2002,1-СТАЕН,Тухла,30380
11,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h156152588993004&slink=4orkkz&f1=1,18,5,5,"град София, Надежда 2",1998,"АТЕЛИЕ, ТАВАН",Тухла,22000
12,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h156062713703912&slink=4orkkz&f1=1,18,5,5,"град София, Център",0,"АТЕЛИЕ, ТАВАН",Тухла,14000
13,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156162395726021&slink=4orkl0&f1=1,19,7,7,"град София, Младост 3",0,1-СТАЕН,Тухла,38000
14,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153423465303765&slink=4orkl1&f1=1,20,0,0,"град София, Люлин 8",2008,1-СТАЕН,Тухла,18000
15,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155920348807819&slink=4orkl1&f1=1,20,0,0,"град София, Люлин 8",2010,1-СТАЕН,Тухла,20000
16,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155808692407344&slink=4orkl1&f1=1,20,0,0,"град София, Люлин 9",2007,1-СТАЕН,ЕПК,35999
17,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156217051871070&slink=4orkl1&f1=1,20,0,0,"град София, Надежда 1",0,1-СТАЕН,Тухла,19000
18,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156217041985848&slink=4orkl1&f1=1,20,0,0,"град София, Триъгълника",0,1-СТАЕН,Тухла,19000
19,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153069845917757&slink=4orkl1&f1=1,20,0,0,"град София, Хладилника",2016,1-СТАЕН,Тухла,22900
20,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h120248121095067&slink=4orkl1&f1=1,20,2,5,"град София, Оборище",2000,"АТЕЛИЕ, ТАВАН",Тухла,28000
