Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
14,5,5,"град София, Яворов",1970,1-СТАЕН,Тухла,40000
19,1,5,"град София, Орландовци",2009,1-СТАЕН,Тухла,29900
20,1,5,"град София, Орландовци",2009,1-СТАЕН,Тухла,26500
21,2,6,"град София, Дианабад",2006,1-СТАЕН,Тухла,65000
21,1,8,"град София, Люлин 10",2008,1-СТАЕН,Тухла,38000
22,1,8,"град София, Обеля 1",1990,"АТЕЛИЕ, ТАВАН",Панел,21999
23,4,4,"град София, Карпузица",2005,1-СТАЕН,Тухла,42000
23,2,5,"град София, Банишора",2023,1-СТАЕН,Тухла,69000
23,4,4,"град София, Овча купел",2005,1-СТАЕН,Тухла,42000
23,2,5,"град София, Център",2023,1-СТАЕН,Тухла,69000
25,1,7,"град София, Карпузица",1990,"АТЕЛИЕ, ТАВАН",Тухла,42000
26,3,8,"град София, Люлин 6",1980,1-СТАЕН,Панел,43900
26,6,8,"град София, Люлин 7",1985,1-СТАЕН,Панел,44000
26,6,8,"град София, Люлин 7",1983,1-СТАЕН,Панел,44000
26,3,7,"град София, Сухата река",1980,1-СТАЕН,Панел,45000
26,5,5,"град София, Център",2010,1-СТАЕН,Тухла,100000
26,1,11,"град София, Стрелбище",1990,"АТЕЛИЕ, ТАВАН",ЕПК,54000
28,1,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,49800
28,1,6,"град София, Студентски град",2023,1-СТАЕН,Тухла,49800
29,13,14,"град София, Люлин 5",1980,1-СТАЕН,ЕПК,56999
29,13,15,"град София, Люлин 5",1980,1-СТАЕН,ЕПК,57000
29,6,7,"град София, Студентски град",2022,1-СТАЕН,Тухла,50500
29,7,7,"град София, Студентски град",2022,1-СТАЕН,Тухла,50600
30,9,9,"град София, Гео Милев",1990,"АТЕЛИЕ, ТАВАН",Тухла,99800
30,9,18,"град София, Банишора",2018,1-СТАЕН,ЕПК,52000
30,2,6,"град София, Банишора",1967,1-СТАЕН,Тухла,85000
30,8,8,"град София, Гео Милев",1990,1-СТАЕН,Тухла,99800
30,4,9,"град София, Люлин 1",1980,1-СТАЕН,Панел,37500
30,5,7,"град София, Люлин 1",1986,1-СТАЕН,Панел,49990
30,5,5,"град София, Манастирски ливади",2008,1-СТАЕН,Тухла,67000
30,9,9,"град София, Редута",1990,1-СТАЕН,Тухла,99800
30,1,6,"град София, Лозенец",2017,2-СТАЕН,Тухла,90000
30,8,8,"град София, Изток",1990,"АТЕЛИЕ, ТАВАН",Тухла,99800
31,4,8,"град София, Люлин 3",1985,1-СТАЕН,Панел,47000
31,1,8,"град София, Люлин 3",1980,1-СТАЕН,Панел,43990
31,1,5,"град София, Малинова долина",2020,1-СТАЕН,Тухла,62000
