Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159436674429522&slink=5p50ib&f1=1,12,1,5,"град София, Стрелбище",2022,1-СТАЕН,Тухла,17590
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159420914700682&slink=5p50ib&f1=1,12,1,5,"град София, Стрелбище",2021,"АТЕЛИЕ, ТАВАН",Тухла,17595
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155448398782425&slink=5p50ib&f1=1,12,5,5,"град София, Център",1940,"АТЕЛИЕ, ТАВАН",Тухла,15500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159249212379911&slink=5p50id&f1=1,13,1,5,"град София, Медицинска академия",0,1-СТАЕН,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155448420362708&slink=5p50id&f1=1,13,1,5,"град София, Център",1940,"АТЕЛИЕ, ТАВАН",Тухла,22000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158885425885140&slink=5p50if&f1=1,14,0,0,"град София, Медицинска академия",2000,1-СТАЕН,Тухла,35999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158919806769248&slink=5p50ig&f1=1,15,4,4,"град София, Център",1970,"АТЕЛИЕ, ТАВАН",Тухла,30000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159256698464088&slink=5p50ih&f1=1,16,1,5,"град София, Люлин 3",0,"АТЕЛИЕ, ТАВАН",Тухла,22000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159161741193387&slink=5p50ii&f1=1,17,1,5,"град София, Център",0,1-СТАЕН,Тухла,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159432511254349&slink=5p50ii&f1=1,17,1,3,"град София, Люлин 8",1997,"АТЕЛИЕ, ТАВАН",Тухла,16000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159402920541503&slink=5p50il&f1=1,18,5,5,"град София, Лозенец",0,1-СТАЕН,Тухла,38000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159342850217026&slink=5p50im&f1=1,19,2,3,"град София, Модерно предградие",0,1-СТАЕН,Тухла,20999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158929720155000&slink=5p50im&f1=1,19,1,4,"град София, Лагера",1965,"АТЕЛИЕ, ТАВАН",Тухла,19000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159222784863724&slink=5p50ip&f1=1,20,3,6,"град София, Овча купел",2021,1-СТАЕН,Тухла,18333
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156648057852290&slink=5p50ip&f1=1,20,0,0,"град София, Редута",2000,1-СТАЕН,Тухла,27800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159413971469819&slink=5p50ip&f1=1,20,5,5,"град София, Център",0,1-СТАЕН,Тухла,38000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157971628327388&slink=5p50ip&f1=1,20,5,5,"град София, Яворов",1958,1-СТАЕН,Тухла,30000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h156507787927330&slink=5p50ip&f1=1,20,1,5,"град София, Люлин 9",2005,"АТЕЛИЕ, ТАВАН",Тухла,21990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158538572061330&slink=5p50ix&f1=1,22,1,6,"град София, Докторски паметник",1965,1-СТАЕН,Тухла,53499
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158989452217179&slink=5p50ix&f1=1,22,1,5,"град София, Център",0,1-СТАЕН,Тухла,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158538573969864&slink=5p50ix&f1=1,22,1,6,"град София, Докторски паметник",1965,"АТЕЛИЕ, ТАВАН",Тухла,53499
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159438535701123&slink=5p50j1&f1=1,23,1,6,"град София, Студентски град",2010,1-СТАЕН,Тухла,28000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158953174403315&slink=5p50j1&f1=1,23,2,6,"град София, Красно село",2001,1-СТАЕН,Тухла,46500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158401329508481&slink=5p50j1&f1=1,23,1,6,"град София, Люлин 6",2008,1-СТАЕН,Тухла,22900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159491170602912&slink=5p50j1&f1=1,23,6,8,"град София, Люлин 6",1980,1-СТАЕН,Панел,39800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159438479366192&slink=5p50j1&f1=1,23,1,6,"град София, Студентски град",2010,1-СТАЕН,Тухла,28000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159220829897045&slink=5p50j2&f1=1,24,1,6,"град София, Люлин 5",1985,1-СТАЕН,Панел,23500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159474710755325&slink=5p50j2&f1=1,24,2,8,"град София, Люлин 7",0,1-СТАЕН,Панел,37000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159489144378496&slink=5p50j2&f1=1,24,2,8,"град София, Люлин 7",0,1-СТАЕН,Панел,37500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159464700366551&slink=5p50j2&f1=1,24,2,8,"град София, Люлин 7",0,1-СТАЕН,Панел,37500
