Id,Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
1,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167532060488646&slink=96id0r&f1=1,14,0,5,5,"град София, Яворов",1970,1-СТАЕН,Тухла,40000
2,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167938974978878&slink=96id0w&f1=1,19,0,1,5,"град София, Орландовци",2009,1-СТАЕН,Тухла,29900
3,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168121476004794&slink=96id0x&f1=1,20,0,1,5,"град София, Орландовци",2009,1-СТАЕН,Тухла,26500
4,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167336130366466&slink=96id0y&f1=1,21,0,2,6,"град София, Дианабад",2006,1-СТАЕН,Тухла,65000
5,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166149881844609&slink=96id0y&f1=1,21,0,1,8,"град София, Люлин 10",2008,1-СТАЕН,Тухла,38000
6,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h168201859310227&slink=96id10&f1=1,22,0,1,8,"град София, Обеля 1",1990,"АТЕЛИЕ, ТАВАН",Панел,21999
7,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163428917182491&slink=96id10&f1=1,22,0,0,0,"град София, Бояна",2019,1-СТАЕН,Тухла,43500
8,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165366668789268&slink=96id10&f1=1,22,0,0,0,"град София, м-т Гърдова глава",2019,1-СТАЕН,Тухла,43500
9,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167775805915519&slink=96id12&f1=1,23,0,4,4,"град София, Карпузица",2005,1-СТАЕН,Тухла,42000
10,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167542733796435&slink=96id12&f1=1,23,0,2,5,"град София, Банишора",2023,1-СТАЕН,Тухла,69000
11,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167775828410793&slink=96id12&f1=1,23,0,4,4,"град София, Овча купел",2005,1-СТАЕН,Тухла,42000
12,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167542755518036&slink=96id12&f1=1,23,0,2,5,"град София, Център",2023,1-СТАЕН,Тухла,69000
13,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h166057983521814&slink=96id12&f1=1,23,0,0,0,"град София, Бояна",2019,"АТЕЛИЕ, ТАВАН",Тухла,43500
14,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168016091077301&slink=96id14&f1=1,24,0,1,1,"град София, Център",0,1-СТАЕН,Тухла,45000
15,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h167947919659711&slink=96id15&f1=1,25,0,1,7,"град София, Карпузица",1990,"АТЕЛИЕ, ТАВАН",Тухла,42000
16,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168112181640864&slink=96id17&f1=1,26,0,3,8,"град София, Люлин 6",1980,1-СТАЕН,Панел,43900
17,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168207240669842&slink=96id17&f1=1,26,0,6,8,"град София, Люлин 7",1985,1-СТАЕН,Панел,44000
18,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167930760055243&slink=96id17&f1=1,26,0,6,8,"град София, Люлин 7",0,1-СТАЕН,Панел,44000
19,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168068019812951&slink=96id17&f1=1,26,0,6,8,"град София, Люлин 7",1983,1-СТАЕН,Панел,44000
20,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168059651710469&slink=96id17&f1=1,26,0,6,8,"град София, Люлин 7",0,1-СТАЕН,Панел,46000
21,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166141527721049&slink=96id17&f1=1,26,0,3,7,"град София, Сухата река",1980,1-СТАЕН,Панел,45000
22,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163351707066328&slink=96id17&f1=1,26,0,5,5,"град София, Център",2010,1-СТАЕН,Тухла,100000
23,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h167568216626422&slink=96id17&f1=1,26,0,1,11,"град София, Стрелбище",1990,"АТЕЛИЕ, ТАВАН",ЕПК,54000
24,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h166749210334240&slink=96id17&f1=1,26,0,6,6,"град София, Център",0,"АТЕЛИЕ, ТАВАН",Тухла,39900
25,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167688223790187&slink=96id1e&f1=1,28,0,1,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,49800
26,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167688307086802&slink=96id1e&f1=1,28,0,1,6,"град София, Студентски град",2023,1-СТАЕН,Тухла,49800
27,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h167043395538574&slink=96id1e&f1=1,28,0,2,2,"град София, Младост 1А",0,"АТЕЛИЕ, ТАВАН",Тухла,34500
28,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167940821244847&slink=96id1i&f1=1,29,0,13,14,"град София, Люлин 5",1980,1-СТАЕН,ЕПК,56999
29,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167999930806579&slink=96id1i&f1=1,29,0,13,15,"град София, Люлин 5",1980,1-СТАЕН,ЕПК,57000
30,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165572882391456&slink=96id1i&f1=1,29,0,7,7,"град София, Студентски град",0,1-СТАЕН,Тухла,49000
31,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165961769627851&slink=96id1i&f1=1,29,0,6,7,"град София, Студентски град",2022,1-СТАЕН,Тухла,50500
32,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165703823392002&slink=96id1i&f1=1,29,0,7,7,"град София, Студентски град",2022,1-СТАЕН,Тухла,50600
33,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168180567885358&slink=96id1m&f1=1,30,0,0,0,"град София, Студентски град",2022,1-СТАЕН,Тухла,58500
34,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h165691221968897&slink=96id1m&f1=1,30,0,9,9,"град София, Гео Милев",1990,"АТЕЛИЕ, ТАВАН",Тухла,99800
35,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167776201658268&slink=96id1m&f1=1,30,0,5,8,"град София, Люлин 6",0,1-СТАЕН,ПК,56000
36,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168086788524574&slink=96id1m&f1=1,30,0,9,18,"град София, Банишора",2018,1-СТАЕН,ЕПК,52000
37,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167326660858299&slink=96id1m&f1=1,30,0,2,6,"град София, Банишора",1967,1-СТАЕН,Тухла,85000
38,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167735328245597&slink=96id1m&f1=1,30,0,5,7,"град София, Белите брези",0,1-СТАЕН,Тухла,79000
39,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166992873447703&slink=96id1m&f1=1,30,0,9,9,"град София, Гео Милев",0,1-СТАЕН,Тухла,99800
40,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166668841514549&slink=96id1m&f1=1,30,0,8,8,"град София, Гео Милев",1990,1-СТАЕН,Тухла,99800
41,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168207538396038&slink=96id1m&f1=1,30,0,5,7,"град София, Красно село",0,1-СТАЕН,Тухла,79000
42,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167897241260450&slink=96id1m&f1=1,30,0,4,9,"град София, Люлин 1",1980,1-СТАЕН,Панел,37500
43,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167984729309932&slink=96id1m&f1=1,30,0,5,7,"град София, Люлин 1",1986,1-СТАЕН,Панел,49990
44,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168198301747423&slink=96id1m&f1=1,30,0,1,8,"град София, Люлин 6",0,1-СТАЕН,Панел,53000
45,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164692409041640&slink=96id1m&f1=1,30,0,5,5,"град София, Манастирски ливади",2008,1-СТАЕН,Тухла,67000
46,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167548486452015&slink=96id1m&f1=1,30,0,9,9,"град София, Редута",1990,1-СТАЕН,Тухла,99800
47,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166152528079574&slink=96id1m&f1=1,30,0,6,8,"град София, Студентски град",0,1-СТАЕН,Тухла,48000
48,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165570295146434&slink=96id1m&f1=1,30,0,7,16,"град София, Студентски град",0,1-СТАЕН,ЕПК,60000
49,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166557101074928&slink=96id1m&f1=1,30,0,2,14,"град София, Сухата река",0,1-СТАЕН,ЕПК,65000
50,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167448660975467&slink=96id1m&f1=1,30,0,1,6,"град София, Лозенец",2017,2-СТАЕН,Тухла,90000
51,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h165976529019908&slink=96id1m&f1=1,30,0,8,8,"град София, Изток",1990,"АТЕЛИЕ, ТАВАН",Тухла,99800
52,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168180035842013&slink=96id1t&f1=1,31,0,4,8,"град София, Люлин 3",1985,1-СТАЕН,Панел,47000
53,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168190534275525&slink=96id1t&f1=1,31,0,1,8,"град София, Люлин 3",1980,1-СТАЕН,Панел,43990
54,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167828863641404&slink=96id1t&f1=1,31,0,1,5,"град София, Малинова долина",2020,1-СТАЕН,Тухла,62000
55,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168051121361475&slink=96id1t&f1=1,31,0,1,9,"град София, Белите брези",1981,1-СТАЕН,ЕПК,75000
56,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165173655238763&slink=96id1t&f1=1,31,0,1,6,"град София, Дианабад",2008,1-СТАЕН,Тухла,72000
57,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163679104319752&slink=96id1t&f1=1,31,0,0,0,"град София, Изток",2008,1-СТАЕН,Тухла,72000
58,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167716037953787&slink=96id1t&f1=1,31,0,1,16,"град София, Люлин 7",0,1-СТАЕН,ЕПК,46500
59,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167775255591242&slink=96id1t&f1=1,31,0,1,12,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,48000
60,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167343190621114&slink=96id1t&f1=1,31,0,1,6,"град София, Люлин 8",2023,1-СТАЕН,Тухла,36600
61,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164570427661255&slink=96id1t&f1=1,31,0,1,5,"град София, Малинова долина",2024,1-СТАЕН,Тухла,46995
62,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167897350757644&slink=96id1t&f1=1,31,0,1,6,"град София, Малинова долина",0,1-СТАЕН,Тухла,50600
63,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164622878319135&slink=96id1t&f1=1,31,0,1,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,50610
64,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166031319331499&slink=96id1t&f1=1,31,0,0,0,"град София, Малинова долина",2023,1-СТАЕН,Тухла,50610
65,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168070274456007&slink=96id1t&f1=1,31,0,1,4,"град София, Малинова долина",0,1-СТАЕН,Тухла,50610
66,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166755685904199&slink=96id1t&f1=1,31,0,0,0,"град София, Малинова долина",2024,1-СТАЕН,Тухла,50610
67,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167450332049017&slink=96id1t&f1=1,31,0,3,5,"град София, Овча купел",2023,1-СТАЕН,Тухла,44500
68,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167386176028723&slink=96id1t&f1=1,31,0,1,5,"град София, Редута",0,1-СТАЕН,Тухла,55000
69,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159912359211473&slink=96id1t&f1=1,31,0,1,6,"град София, Студентски град",2016,1-СТАЕН,Тухла,63000
70,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167794710029124&slink=96id1z&f1=1,32,0,1,5,"град София, Малинова долина",2025,1-СТАЕН,Тухла,50600
71,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164820269204969&slink=96id1z&f1=1,32,0,12,14,"град София, Люлин 4",1978,1-СТАЕН,ЕПК,53000
72,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167707306391114&slink=96id1z&f1=1,32,0,1,14,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,44000
73,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167932740572506&slink=96id1z&f1=1,32,0,14,16,"град София, Люлин 7",1984,1-СТАЕН,ЕПК,64000
74,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167957220464170&slink=96id1z&f1=1,32,0,0,0,"град София, Малинова долина",2024,1-СТАЕН,Тухла,50610
75,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167050066096710&slink=96id1z&f1=1,32,0,16,20,"град София, Младост 2",1985,1-СТАЕН,ЕПК,80000
76,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167671532052378&slink=96id1z&f1=1,32,0,1,2,"град София, Оборище",1930,2-СТАЕН,Тухла,155000
77,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163958293954798&slink=96id23&f1=1,33,0,2,13,"град София, Младост 4",2025,1-СТАЕН,Тухла,48013
78,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166410812581820&slink=96id23&f1=1,33,0,2,7,"град София, Обеля 1",2023,1-СТАЕН,Тухла,45550
79,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167324618332061&slink=96id23&f1=1,33,0,3,3,"град София, Лозенец",1970,1-СТАЕН,Тухла,64800
80,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167324651407043&slink=96id23&f1=1,33,0,3,3,"град София, Център",1970,1-СТАЕН,Тухла,64800
81,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164251805268606&slink=96id23&f1=1,33,0,2,7,"град София, Бъкстон",1988,1-СТАЕН,Панел,76990
82,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167777443683732&slink=96id23&f1=1,33,0,3,15,"град София, Люлин 5",1980,1-СТАЕН,ЕПК,55000
83,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166618358519072&slink=96id23&f1=1,33,0,1,4,"град София, Малинова долина",2024,1-СТАЕН,Тухла,49777
84,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167568189714970&slink=96id23&f1=1,33,0,4,22,"град София, Младост 2",0,1-СТАЕН,ЕПК,66700
85,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a167585189569769&slink=96id23&f1=1,33,0,1,5,"град София, Орландовци",2009,1-СТАЕН,Тухла,47000
86,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164251763102838&slink=96id23&f1=1,33,0,2,7,"град София, Павлово",1988,1-СТАЕН,Панел,76999
87,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168138294750132&slink=96id23&f1=1,33,0,1,4,"град София, Младост 4",1987,2-СТАЕН,Тухла,94500
88,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165236372375795&slink=96id23&f1=1,33,0,1,1,"град София, Център",0,2-СТАЕН,Тухла,143000
89,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h167324634807186&slink=96id23&f1=1,33,0,3,3,"град София, Лозенец",1970,"АТЕЛИЕ, ТАВАН",Тухла,64800
90,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h167327289286743&slink=96id23&f1=1,33,0,1,5,"град София, Орландовци",2009,"АТЕЛИЕ, ТАВАН",Тухла,55000
91,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h161562397016161&slink=96id23&f1=1,33,0,6,6,"град София, Студентски град",2015,"АТЕЛИЕ, ТАВАН",Тухла,80000
92,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h167324661516777&slink=96id23&f1=1,33,0,3,3,"град София, Център",1970,"АТЕЛИЕ, ТАВАН",Тухла,64800
93,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166152018597400&slink=96id29&f1=1,34,0,1,5,"град София, Малинова долина",2019,1-СТАЕН,Тухла,74900
94,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168187170669633&slink=96id29&f1=1,34,0,11,16,"град София, Младост 1",0,1-СТАЕН,ЕПК,72000
